Total output lines: 434

MLS #,Location,Sold/List Price,Acres,Days on Market,Zoning Comments,Remarks / Comments,acres_num,dom_num,list_price_num,sold_price_num,price_num,ppa,acre_band,sold_to_list
A144845A,Baileys Harbor,"$925,000",40.34,143,Heartland 3.5 (HL3.5),"• Discover this gorgeous, heavily wooded 40 acre parcel.
• Located just across County E from the Maxwelton Braes Golf Course, it would be a perfect location for your new home.
• The adjacent development features a number of cottages.
• This subject property, being zoned as Heartland 3.5, should allow up to 11 separate lots.",40.34,143.0,925000.0,,925000.0,22930.0941993059,40+ ac,
A144822A,Baileys Harbor,"$224,000",1.51,156,Small Estate (SE),"• Investment opportunity in Baileys Harbor!
• One lot with 1.51 acres and the ability to build two homes.
• Make one your own and the other a rental or mother-in-law home, or build two rentals and reap the benefits of rental income.
• Perc tested for a mound system, and underground electric is at the site.",1.51,156.0,224000.0,,224000.0,148344.37086092716,1-2 ac,
A144823A,Baileys Harbor,"$189,000",1.51,156,Small Estate (SE),"• Investment opportunity in Baileys Harbor!
• One lot with 1.51 acres and the ability to build two homes.
• Make one your own and the other a rental or mother-in-law home, or build two rentals and reap the benefits of rental income.
• Perc tested for a mound system, and underground electric is at the site.",1.51,156.0,189000.0,,189000.0,125165.56291390728,1-2 ac,
A144745xX,Baileys Harbor,"$199,000",1.65,183,Small Estate (SE),"• Investment opportunity in Baileys Harbor!
• One lot with 1.65 acres and the ability to build two homes.
• Make one your own and the other a rental or mother-in-law home, or build two rentals and reap the benefits of rental income.
• Perc tested for a mound system, and underground electric is at the site.",1.65,183.0,199000.0,,199000.0,120606.06060606061,1-2 ac,
L143759A,Baileys Harbor,"$10,280,000",48.08,405,Countryside (CS) Zng 2: Shoreland Zoning,"• Flexible seller terms and opportunity to acquire smaller parcels available — inquire for details.
• A rare 48-acre development opportunity with 1,427 feet of shoreline on Kangaroo Lake.
• Zoned for nine 5-acre parcels with potential for increased density or mixed-use through rezoning.
• Ideal for a high-end residential community, eco-retreat, or boutique resort.",48.08,405.0,10280000.0,,10280000.0,213810.31613976706,40+ ac,
,,,,,,,,,,,,,unknown,
L144840A,Chambers Island,"$199,900",2.70,147,CIS (Chambers Island Shoreline) Addlinfo: 10951 Island View West,"• Get away from it all and get off the grid to Chambers Island!
• Short boat ride from Fish Creek but miles away from the busyness of the mainland.
• Approximately 300 feet of Green Bay shore, beachstone and sand shore.
• Coordinates 45.199941- 87.349036 Buyer responsible for transportation to island.",2.7,147.0,199900.0,,199900.0,74037.03703703704,2-5 ac,
,,,,,,,,,,,,,unknown,
A147126A,Egg Harbor,"$125,000",3.18,20,Shoreland Zoning,"• Discover 3+ acres of private, wooded serenity in Egg Harbor, Door County—just down the road from Murphy County Park with public dock and boat launch access, and Horseshoe Bay Country Club featuring its award-winning golf course, dining, courts, and pool.
• Accessed via an easement off Bay Shore Drive, the property offers a secluded setting while remaining conveniently located just south of the Village of Egg Harbor.
• A rare opportunity to secure privacy and acreage in this highly sought-after area.
• Neighboring 3 acres under MLS #147109 is under contract.",3.18,20.0,125000.0,,125000.0,39308.17610062893,2-5 ac,
A147109P,Egg Harbor,"$125,000",3.10,21,Shoreland Zoning,"• Discover 3+ acres of private, wooded serenity in Egg Harbor, Door County—just down the road from Murphy County Park with public dock and boat launch access, and Horseshoe Bay Country Club featuring its award-winning golf course, dining, courts, and pool.
• Accessed via an easement off Bay Shore Drive, the property offers a secluded setting while remaining conveniently located just south of the Village of Egg Harbor.
• A rare opportunity to secure privacy and acreage in this highly sought-after area.
• See MLS#147126 to purchase the neighboring 3 acres and MLS#147108 for both parcels combined for a total of 6.18 acres.",3.1,21.0,125000.0,,125000.0,40322.58064516129,2-5 ac,
A147030A,Egg Harbor,"$1,050,000",1.17,44,R-1,"• Rare Door County Blufftop Opportunity!
• Walk to downtown Egg Harbor from this exceptional homesite, perfectly positioned to build your custom dream home.
• Enjoy breathtaking views of Green Bay and Michigan‘s Upper Peninsula, creating a truly stunning backdrop.
• Adjacent to a protected escarpment area, the property offers a unique blend of natural beauty, privacy, and convenience.",1.17,44.0,1050000.0,,1050000.0,897435.8974358975,1-2 ac,
A147025A,Egg Harbor,"$159,900",0.35,52,R-2,"• Opportunity to own one of the largest homesites at The Orchards Village.
• A beautiful wooded backdrop, easy access on to The Orchard Golf Course and the village.
• High speed internet!
• Roadway and sewer are being installed now.",0.35,52.0,159900.0,,159900.0,456857.1428571429,<1 ac,
A145914A,Egg Harbor,"$59,000",1.48,104,Not Zoned,"• Nicely wooded lot located just south of Murphy Park and within walking distance to the Lautenbach Woods Nature preserve.
• Mostly hardwoods with broad sloping areas.
• Access is by a private road (East Spring Lane) and the section running north and south is not plowed.
• Ideal site for an ""off grid"" home, as Wisconsin Public Service does not have the land rights to provide new electric service at East Spring Lane to serve this property.",1.48,104.0,59000.0,,59000.0,39864.86486486487,1-2 ac,
A144867A,Egg Harbor,"$299,000",20,124,General Agricultural (GA),"• Attention recreational enthusiast, this property has it all.
• Multiple building sites, an abundance of wildlife, central 5 miles.
• Property on your right.
• Mix of open meadows, cropland, hard/soft woods and some location within the peninsula and privacy.",20.0,124.0,299000.0,,299000.0,14950.0,20-40 ac,
A144869A,Egg Harbor,"$699,000",72,124,General Agricultural (GA),"• Peace and serenity abounds over this beautiful 72 acre estate sized property.
• 16+ wooded acres with gentle rolling meadows & cropland.
• There are some wetlands with plenty of buildable areas.
• Perfect for your door county home or create your own private recreational estate.",72.0,124.0,699000.0,,699000.0,9708.333333333334,40+ ac,
A145872A,Egg Harbor,"$167,000",0.57,155,R-1,"• Do you want to be in Point Beach AND have a sunny lot?
• This lot is south facing and looks across Horseshoe Bay Road to Alpine Golf Course.
• Point Beach offers over half a dozen water access points to enjoy the sunset, launch a kayak or paddle board or just dip your toes in!
• The Village of Egg Harbor installed sewer, call for details.",0.57,155.0,167000.0,,167000.0,292982.4561403509,<1 ac,
A144814A,Egg Harbor,"$200,000",0.62,157,R-1,"• The last of the original Point Beach lots is here!
• This lot on Dawn Ln offers a beautiful blend of trees, natural beauty, and quiet surroundings.
• Located just a short drive from Egg Harbor, you'll have easy access to beaches, shops, and local favorites while still enjoying a private, relaxed setting.
• Point Beach offers over half a dozen water access points to enjoy the sunset, launch a kayak or paddle board or just dip your toes in!",0.62,157.0,200000.0,,200000.0,322580.6451612903,<1 ac,
A144815A,Egg Harbor,"$200,000",0.62,157,R-1 Addllnfo: In between Lot 1 and Lot 2,"• The last of the Original Point Beach Lots is here.
• This lot on Dawn Ln offers a beautiful blend of trees, natural beauty, and quiet surroundings.
• Located just a short drive from Egg Harbor, you'll have easy access to beaches, shops, and local favorites while still enjoying a private, relaxed setting.
• Point Beach offers over half a dozen water access points to enjoy the sunset, launch a kayak or paddle board or just dip your toes in!",0.62,157.0,200000.0,,200000.0,322580.6451612903,<1 ac,
A144816A,Egg Harbor,"$200,000",0.65,157,R-1 Addllnfo: Property is on the East side of Lot 2.,"• The last of the original Lots!
• This lot on Dawn Ln offers a beautiful blend of trees, natural beauty, and quiet surroundings.
• Located just a short drive from Egg Harbor, you'll have easy access to beaches, shops, and local favorites while still enjoying a private, relaxed setting.
• Point Beach offers over half a dozen water access points to enjoy the sunset, launch a kayak or paddle board or just dip your toes in!",0.65,157.0,200000.0,,200000.0,307692.3076923077,<1 ac,
A144817A,Egg Harbor,"$170,000",1,157,R-1 Addllinfo: Property is East to 7764,"• This lot on Cross Ln offers a beautiful blend of trees, natural beauty, and quiet surroundings.
• Located just a short drive from Egg Harbor, you'll have easy access to beaches, shops, and local favorites while still enjoying a private, relaxed setting.
• Point Beach offers over half a dozen water access points to enjoy the sunset, launch a kayak or paddle board or just dip your toes in!
• Buyer shall be responsible for upcoming Village Sewer assessment, call for details.",1.0,157.0,170000.0,,170000.0,170000.0,1-2 ac,
A144818A,Egg Harbor,"$190,000",1.44,157,R-1 Addlinfo: East to 7760,"• Last of the Original Lots!
• This lot offers a beautiful blend of trees, natural beauty, and quiet surroundings.
• Located just a short drive from Egg Harbor, you'll have easy access to beaches, shops, and local favorites while still enjoying a private, relaxed setting.
• Point Beach offers over half a dozen water access points to enjoy the sunset, launch a kayak or paddle board or just dip your toes in!",1.44,157.0,190000.0,,190000.0,131944.44444444444,1-2 ac,
A144819A,Egg Harbor,"$340,000",2.50,157,R-1,"• Own a WHOLE BLOCK in Point Beach.
• This estimated 2.5 acre lot offers a beautiful blend of trees, natural wetlands, and quiet surroundings.
• Has potential to create 2 lots.
• Located just a short drive from Egg Harbor, you'll have easy access to beaches, shops, and local favorites while still enjoying a private, relaxed setting.",2.5,157.0,340000.0,,340000.0,136000.0,2-5 ac,
A144820A,Egg Harbor,"$155,000",0.62,157,R-1 Addllnfo: Property is across the street to 4973.,"• This lot on the corner of Evergreen Ln and Dawn Ln offers a beautiful blend of trees, natural beauty, and quiet surroundings.
• Located just a short drive from Egg Harbor, you'll have easy access to beaches, shops, and local favorites while still enjoying a private, relaxed setting.
• Point Beach offers over half a dozen water access points to enjoy the sunset, launch a kayak or paddle board or just dip your toes in!
• Buyer shall be responsible for upcoming Village Sewer assessment, call for details.",0.62,157.0,155000.0,,155000.0,250000.0,<1 ac,
A144824A,Egg Harbor,"$195,000",1.39,157,R-1 Addllnfo: Also includes Parcel #118351712 SwrAtRd: Yes,"• This lot on N Shore Dr.
• offers a beautiful blend of trees, natural beauty, and quiet surroundings.
• Located just a short drive from Egg Harbor, you'll have easy access to beaches, shops, and local favorites while still enjoying a private, relaxed setting.
• Point Beach offers over half a dozen water access points to enjoy the sunset, launch a kayak or paddle board or just dip your toes in!",1.39,157.0,195000.0,,195000.0,140287.76978417268,1-2 ac,
A144752A,Egg Harbor,"$1,250,000",1.85,182,R-1,"• Experience one of Door County’s most coveted settings within 1 mile & walking distance to downtown Egg Harbor, the marina, beach and Alpine Golf course.
• Perched on a stunning bluff, this exceptional property showcases sweeping 180° views of Green Bay, Chambers Island, and the distant shores of Michigan's Upper Peninsula.
• The deep, beautifully contoured lot offers remarkable privacy and endless design potential—an ideal setting for your architect to bring your dream home to life.
• A Certified Survey Map and soil test data are already on file, and thoughtful Covenants & Restrictions protect the integrity of this serene neighborhood.",1.85,182.0,1250000.0,,1250000.0,675675.6756756756,1-2 ac,
A144782A,Egg Harbor,"$224,900",1.06,184,R-1,"• Build your year-round home or Door County getaway on this lovely, large (over an acre) wooded homesite in beautiful Egg Harbor.
• Enjoy the convenience of living close to local dining, shops and art galleries, and just a few minutes' walk to the public beach.
• The lot is connected to MUNICIPAL SEWER and comes with light, protective covenants (short-term rentals not allowed).
• Designated as Lot #1 in the Fairwood Land Division / CSM #3637, one of four homesites created from the Alpine Golf Course in 2022.",1.06,184.0,224900.0,,224900.0,212169.8113207547,1-2 ac,
A144754A,Egg Harbor,"$209,900",10.11,188,A - Agriculture,"• Unlock opportunity in the heart of Door County with this 10.11-acre parcel.
• One of eight available lots, each soil- tested and ready to build, this land offers flexibility fordevelopoment, long-term investment, or creating a private estate.
• Located in the Town of Egg Harbor, enjoy the balance of rural peace with access to Door County's popular destinations.Whether you build now or hold for future growth, this property positions you at the gateway of one of Wisconsin's most desirable regions.
• Recent land division has been submitted forreview and is subject to final approval by the county.",10.11,188.0,209900.0,,209900.0,20761.62215628091,10-20 ac,
A144755A,Egg Harbor,"$224,900",10.05,188,A - Agriculture,"• Unlock opportunity in the heart of Door County with this 10.05-acre parcel.
• One of eight available lots, each soil- tested and ready to build, this land offers flexibility fordevelopment, long-term investment, or creating a private estate.
• Located in the Town of Egg Harbor, enjoy the balance of rural peace with access to Door County'…4742 tokens truncated…leveled.",11.02,44.0,550000.0,,550000.0,49909.25589836661,10-20 ac,
A147027A,Gibraltar,"$249,000",3.02,44,Heartland 3.5 (HL3.5),"• Tucked just 1.5 miles from downtown Fish Creek, this 3+ acre property offers a rare balance of privacy and convenience—bike into Peninsula State Park or enjoy easy access to Fish Creek's marina, shops, cafés, and dining.
• The land features private prairie landscape framed by mature cedar trees and winding trails rich in natural beauty and wildlife.
• Multiple leveled build sites provide a ready foundation for your Door County retreat—whether a private residence, seasonal getaway, or legacy property.
• Property abuts new luxury conservation development w/ access to their trails and beach.",3.02,44.0,249000.0,,249000.0,82450.33112582781,2-5 ac,
,,,,,,,,,,,,,unknown,
A147159A,Gills Rock,"$69,900",0.75,14,Single Family Res 30000 (SF30),"• Tucked near the end of a quiet cul-de-sac, this 3/4 acre wooded parcel offers a private & peaceful setting for your future home or cabin.
• Surrounded by mature trees, it's an ideal spot to enjoy the natural beauty and seclusion while still being easily accessible.
• Underground electric & telephone are available at the lot line.
• Minimal restrictive covenants and a roadway maintenance agreement are in place to help maintain the quality of the area while still allowing flexibility for your plans.",0.75,14.0,69900.0,,69900.0,93200.0,<1 ac,
A147136A,Gills Rock,"$249,900",7.65,19,Heartland 3.5 (HL3.5),"• Located near the tip of the Peninsula, discover the possibilities with this beautiful lot.
• Just over 7 acres and located on a quiet road within walking distance to Gills Rock, this lot offers privacy featuring a mix of mature trees and open space.
• Whether you are looking to create a year-round residence or a seasonal getaway, this property gives you the flexibility to bring your vision to life.",7.65,19.0,249900.0,,249900.0,32666.666666666664,5-10 ac,
A144477A,Gills Rock,"$84,900",1.50,259,Small Estate (SE),"• When you think of Door County, you definitely think of gorgeous, wooded building sites!
• This is a beautiful place to build your future home in the woods with native plantings, mature hardwoods, some pine and Niagara escarpment outcroppings.
• You'll be close to the ferry line, Newport State Park, Garrett Bay, Europe Bay with its lovely sand beach, plus The Shoreline Restaurant, Uncle Tom's Candies, Charlie's Smokehouse, and minutes from all of the charms and amenities of downtown Ellison Bay (with another public beach).
• Take a drive north of the tension line and find out why so many people are choosing northern Door and the unspoiled beauty of Liberty Grove for their future.",1.5,259.0,84900.0,,84900.0,56600.0,1-2 ac,
,,,,,,,,,,,,,unknown,
A144783A,Jacksonport,"$173,999",1.80,174,Light Industrial (LI),"• Light Industrial (LI) land available in Jacksonport.
• Two roughly 1.8 acre lot available to build your custom building with or without an accessory residence.
• Limited building size restrictions compared to other zoning districts.
• Just 2 minutes from Jacksonport just off of 57, which can get you anywhere in the county fast.",1.8,174.0,173999.0,,173999.0,96666.11111111111,1-2 ac,
,,,,,,,,,,,,,unknown,
L147164A,Liberty Grove,"$1,250,000",6.58,15,Heartland 5 (HL5),"• Lot #24 in desirable Marshall's Point Estates offers over 6.5 acres along with 376' of meandering shoreline along North Bay (a kayaker's paradise).
• This premier homesite captures breathtaking sunset views, views of North Bay & Gordon Lodge & provides an exceptional setting for your future home (restrictive covenants apply).
• Marshalls Point Estates is an exclusive, gated, residential community located on a private peninsula just east of Sister Bay, on the shores of Lake Michigan.
• An exceptional offering in one of Door County's most sought-after enclaves, known for its privacy & natural beauty, that acts as a lakeside nature-preserve with its common areas, walking trails & wildlife.",6.58,15.0,1250000.0,,1250000.0,189969.60486322187,5-10 ac,
A144836A,Liberty Grove,"$179,900",3.53,149,Heartland 3.5 (HL3.5),"• Discover the ideal setting for your Door County retreat on this beautiful 3.5-acre, partially wooded parcel, perfectly positioned between Sister Bay and Ephraim.
• The peaceful, natural backdrop offers ample space to build—making it well suited for a year-round residence or a private getaway.
• Enjoy the best of Door County living with easy access to outdoor recreation, dining, and shopping, all just minutes away.Building requirements include a minimum of 1,800 sq ft for a ranch-style home or 1,200 sq ft on the first floor for a two-story residence.
• The lot has perc-tested for a mound system and may not be subdivided.",3.53,149.0,179900.0,,179900.0,50963.17280453258,2-5 ac,
,,,,,,,,,,,,,unknown,
A147148A,Sister Bay,"$265,000",5.37,16,Heartland 3.5 (HL3.5) Zng 2: Rural Residential (RR) Addllnfo: See Survey in Documents,"• Create your perfect Door County retreat on this 5.367-acre wooded lot—an ideal canvas for your dream home or private getaway.
• A gravel drive is already in place, and a full survey has been completed, saving you time and effort.
• Enjoy the tranquility of a secluded setting while being just minutes from all the dining, shopping, and shorefront charm Sister Bay has to offer.",5.37,16.0,265000.0,,265000.0,49348.23091247672,5-10 ac,
A147095A,Sister Bay,"$250,000",0.51,24,Single Family Res 30000 (SF30),"• Welcome to lot 10 in highly desirable Liberty Park Bluff.
• The gently sloping landscape features mature hardwood trees, creating a scenic backdrop for your future home or retreat.
• Proper placement and construction should allow for a water view.
• Power, water and sewer are already available at the lot making it easier to be begin construction.",0.51,24.0,250000.0,,250000.0,490196.07843137253,<1 ac,
A147085A,Sister Bay,"$159,000",1.25,26,R-1,"• Beautiful and fully wooded Sister Bay lot.
• Northwood Estates is a quiet subdivision with only 10 homesites, located just a mile from downtown Sister Bay.
• The lot has a natural slope that would lend itself to a design with a walkout lower level.
• Minimal protective covenants are in place.",1.25,26.0,159000.0,,159000.0,127200.0,1-2 ac,
A145984A,Sister Bay,"$162,500",3.95,70,Natural Area (NA) Zng 2: Wetland (W) Addllnfo: Property is in front of 9551 and 9547,"• Enveloped by a pristine evergreen forest, this property offers a perfect blend of seclusion and accessibility.
• Surrounded by towering pines and whispering firs, and the Nature Conservancy, it's a peaceful retreat where nature takes center stage.
• Yet, just beyond the tranquility lies the vibrant charm of Door County's finest attractions.
• This rare parcel embodies the best of Door County: a serene forest sanctuary combined with easy access to a community rich in culture, adventure, and natural beauty.",3.95,70.0,162500.0,,162500.0,41139.240506329115,2-5 ac,
A144852A,Sister Bay,"$209,000",1.40,139,Light Industrial (LI),"• Light Industrial (LI) land available in Sister Bay.
• Four roughly 1.4 acre lot (larger if needed) available to build your custom building with or without an accessory residence.
• Limited building size restrictions compared to other zoning districts.
• Just 5 minutes from Sister Bay, on ZZ which can get you anywhere in the county fast.",1.4,139.0,209000.0,,209000.0,149285.7142857143,1-2 ac,
A144564A,Sister Bay,"$259,000",3.15,239,Heartland 3.5 (HL3.5) Addllnfo: West Lot,"• You'll find a nice mix of woods and a small meadow area on this idyllic lot, situated on desirable Beach Road, ina quiet residential area.
• Located about midway between Sister Bay and Ellison Bay, providing easy access to nearby restaurants, beaches and parks.",3.15,239.0,259000.0,,259000.0,82222.22222222222,2-5 ac,
A144565A,Sister Bay,"$239,000",3.28,239,Heartland 3.5 (HL3.5) Addlinfo: East Lot,"• If you're looking for a private setting in a great location, then take a look at this lot today.
• Access will be provided via an easement from Beach Road.
• Here you'll find a sunny meadow, bordered by a mature wooded area to the east of the lot - an ideal spot for your Door County retreat.",3.28,239.0,239000.0,,239000.0,72865.8536585366,2-5 ac,
A144505A,Sister Bay,"$285,000",5.00,252,Heartland 5 (HL5),"• Just 2.5 miles from Sister Bay, this 5-acre hideaway on a quiet dead-end road is where peace meets possibility.
• A homesite is already cleared, electric is at the road, and a perc test is complete—so bring your blueprints for that Door County dream.
• Extras include a 12'x10’ shed, firewood rack, gravel drive, camper pad, and firepit.
• Nearly a mile of winding trails—think “mini Peninsula State Park""—lead you through White Pine, Maple, Cedar, and towering Norway Spruce.",5.0,252.0,285000.0,,285000.0,57000.0,5-10 ac,
A144085A,Sister Bay,"$199,900",3.68,336,Heartland 3.5 (HL3.5),"• Nestled just minutes from Sister Bay, this 3.68 acre vacant parcel in Heartland Land Division offers the perfect blend of privacy and convenience.
• Tucked along a private road, the property is partially wooded - ideal for those seeking a natural setting with room to build.
• Enjoy peace of mind with protective restrictive covenants that preserve the integrity and value of your investment.
• Whether you are planning to build your dream home or just a peaceful getaway, this is a great opportunity in a great location, being just minutes to Sister Bay, Ephraim and Baileys Harbor.",3.68,336.0,199900.0,,199900.0,54320.65217391304,2-5 ac,
A143852A,Sister Bay,"$695,000",31.38,384,Heartland 10 (HL10),"• Beautiful, Spacious Homesite near Sister Bay.
• Nestled just minutes from Sister Bay this stunning homesite offers the perfect blend of privacy and natural beauty.
• A captivating mix of mature evergreens, fruit trees and scattered hardwoods creates a picturesque setting, while gently rolling terrain adds character and charm.
• Whether you envision a serene retreat or a year-round residence, this property provides the ideal canvas to bring your dreams to life.",31.38,384.0,695000.0,,695000.0,22147.864882090504,20-40 ac,
,,,,,,,,,,,,,unknown,
A147170A,Sturgeon Bay,"$125,000",0.75,13,C-5 Zng 2: Residential,"• Discover the potential of this 0.75-acre parcel ideally located in Sturgeon Bay!
• This property features a large storage building set back from the road, offering privacy and flexibility for a variety of uses.
• The outbuilding already has electricity, making it perfect for storage, hobbies, or a workshop.
• With ample space and the possibility to build a home, this lot provides a great opportunity to create your ideal setup.",0.75,13.0,125000.0,,125000.0,166666.66666666666,<1 ac,
A147015A,Sturgeon Bay,"$249,900",1.50,48,Not Zoned,"• Highly desirable waterview lot perfectly positioned between Sturgeon Bay and Egg Harbor along the picturesque Niagara Escarpment.
• This 1.5 acre parcel is spacious, wooded, and gently sloped, providing an ideal backdrop for your custom home.
• With thoughtful design, enjoy the potential for breathtaking panoramic sunset water views from multiple levels.
• Explore the possibilities and start envisioning your dream home.",1.5,48.0,249900.0,,249900.0,166600.0,1-2 ac,
A146998A,Sturgeon Bay,"$129,900",0.64,63,Planned Unit Development,"• Build your Door County dream home on this beautiful .64-acre homesite in the desirable Strawberry Creek Estates community.
• This lot offers the perfect blend of privacy and amenities within a gated community surrounded by the natural beauty Door County is known for.
• Enjoy resort-style living with access to the community swimming pool and tennis courts, plus the added bonus of Boat Slip #57, giving you convenient access to the water for boating and recreation.
• Whether you're planning a year-round residence or a peaceful retreat, this spacious lot provides the ideal setting to create your idyllic home while enjoying the best of Door County living.",0.64,63.0,129900.0,,129900.0,202968.75,<1 ac,
A145976A,Sturgeon Bay,"$169,900",2.42,76,Not Zoned,"• Tucked within the Stonewood Subdivision, ideally located between Sturgeon Bay and Egg Harbor, this spacious lot offers privacy among woods and open meadow.
• Enjoy easy access to Highway 42 and all the attractions Door County has to offer.
• Protective covenants, improved roads, and underground utilities are already in place—providing a great head start for your new home or vacation retreat.
• Bring your plans and bring your dream home to reality.",2.42,76.0,169900.0,,169900.0,70206.61157024793,2-5 ac,
A145965A,Sturgeon Bay,"$134,900",0.31,77,C-1,"• Open lot along Business 42 (Egg Harbor Rd) in Sturgeon Bay.
• Commercial opportunity with great exposure and easy access.
• Turn your business dream into a reality.
• Located in Sturgeon Bay's TID District #6.",0.31,77.0,134900.0,,134900.0,435161.29032258067,<1 ac,
L145954A,Sturgeon Bay,"$399,900",0.91,85,R-2 Zng 2: Shoreland Zoning Addllnfo: end of Bridgeview Lane cul de sac,"• Canal waterfront homesite within the city of Sturgeon Bay.
• Panoramic views across the channel and also next to a lagoon.
• The area immediately next to the water's edge is in the floodplain & wetlands, but the south part of the lot holds a great building spot.
• Located on the very end of Bridgeview Lane.",0.91,85.0,399900.0,,399900.0,439450.5494505494,<1 ac,
L145953A,Sturgeon Bay,"$399,000",0.73,86,R-2 Zng 2: Wetland (W),"• Picture your dream home, set upon the shore along the canal in the vibrant City of Sturgeon Bay.
• Ideally situated in a quiet residential neighborhood, yet just a short drive to the historic downtown, with numerous restaurants, galleries, parks and the scenic waterfront to enjoy.
• Boat slips available nearby.",0.73,86.0,399000.0,,399000.0,546575.3424657534,<1 ac,
