Total output lines: 613

MLS #,Location,List Price,Sold Price,Acres,Days on Market,Parcel #,Zoning Comments,Remarks / Comments,acres_num,dom_num,list_price_num,sold_price_num,price_num,ppa,acre_band,sold_to_list
A143975C,Egg Harbor,"$70,000","$70,000",2.71,64,0080121292641K,A - Agriculture,"• Vacant Parcel in Prime Door County Location!
• This beautiful lot is located on a private gravel road approximately 10 miles north of Sturgeon Bay, just off Highway 42 on Indigo Road.
• The road is privately maintained and serves a small number of residences, offering a quiet, low-traffic setting.
• Situated in the heart of Door County, the property provides convenient access to the area's renowned parks, shoreline, dining, and cultural attractions.
• An excellent opportunity to establish a year-round residence or seasonal retreat.",2.71,64.0,70000.0,70000.0,70000.0,25830.258302583024,2-5 ac,1.0
A144759C,Egg Harbor,"$214,900","$204,000",8.96,70,0080111292642,A - Agriculture,"• Unlock opportunity in the heart of Door County with this 8.96-acre parcel.
• One of eight available lots, each soil-tested and ready to build, this land offers flexibility fordevelooment, long-term investment, or creating a private estate.
• Located in the Town of Egg Harbor, enjoy the balance of rural peace with access to Door County's popular destinations.Whether you build now or hold for future growth, this property positions you at the gateway of one of Wisconsin's most desirable regions.
• Recent land division has been submitted forreview and is subject to final approval by the county.",8.96,70.0,214900.0,204000.0,204000.0,22767.85714285714,5-10 ac,0.949278734295021
A144758C,Egg Harbor,"$214,900","$214,900",8.95,71,0080111292642,A - Agriculture,"• Unlock opportunity in the heart of Door County with this 8.95-acre parcel.
• One of eight available lots, each soil-tested and ready to build, this land offers flexibility fordevelooment, long-term investment, or creating a private estate.
• Located in the Town of Egg Harbor, enjoy the balance of rural peace with access to Door County's popular destinations.Whether you build now or hold for future growth, this property positions you at the gateway of one of Wisconsin's most desirable regions.
• Recent land division has been submitted forreview and is subject to final approval by the county.",8.95,71.0,214900.0,214900.0,214900.0,24011.173184357544,5-10 ac,1.0
A143940C,Egg Harbor,"$100,000","$100,000",0.30,78,016350004,Residential,"• Buildable lot in a private subdivision.
• Walking distance to the Jacksonport beach.
• The lot has water, electric and a conventional septic for 3 bedroom home.",0.3,78.0,100000.0,100000.0,100000.0,333333.3333333334,<1 ac,1.0
A144371C,Egg Harbor,"$199,900","$199,900",5,89,0140115302721E2,CS5 (Countryside-5),"• Discover the perfect blend of privacy and convenience with this beautiful 5-acre vacant lot, ideally located just minutes from both Fish Creek and Egg Harbor.
• Tucked away in a peaceful setting, this property offers a rare combination of open meadow and mature woods—ideal for those seeking tranquility, nature, and inspiring views.
• Whether you envision building your dream home, a cozy cabin getaway, or simply investing in a piece of Door County's natural beauty, this centrally located parcel provides endless potential.
• With easy access to charming villages, restaurants, shops, parks, and the shoreline, you'll have the best of Door County right at your fingertips-all while enjoying the peace and quiet of your own private retreat.",5.0,89.0,199900.0,199900.0,199900.0,39980.0,5-10 ac,1.0
A144154C,Egg Harbor,"$899,900","$899,900",76,96,0080111292642,A - Agriculture,"• 76 acres in the heart of Door County with no restrictive covenants—bring your vision.
• Ideal setting for a private estate, small development, vineyard, or a creative mix of allthree.
• Gently rolling land with 65+ tillable acres, wooded pockets, and wide- open skies.
• In the southeast corner, wildflowers bloom untouched, waiting for you to carve a quiet path where theonly sounds are wind, birds, and crickets.
• Minutes from beaches, parks, marinas, golf and Door County's best dining and arts.",76.0,96.0,899900.0,899900.0,899900.0,11840.78947368421,40+ ac,1.0
A144581C,Egg Harbor,"$185,000","$185,000",1.36,98,2811065001600,R-4,"• Two adjacent parcels offered as a bundled sale, totaling approximately 1.36 acres and zoned R4 for up to 23 apartment units.
• Located in a thriving mixed-residential neighborhood with single-family homes, townhouses, and a senior living community, this site is adjacent to recent new construction and ongoing growth.
• Positioned just north of Egg Harbor Road and directly behind Cherry Point Mall, the property offers strong visibility, access to amenities, and long-term upside.
• Ideal for developers seeking a shovel-ready opportunity in a market with rising demand for multi-family housing.",1.36,98.0,185000.0,185000.0,185000.0,136029.41176470587,1-2 ac,1.0
L144018C,Egg Harbor,"$1,235,000","$1,235,000",1.40,101,0140107302712J2,Single Family Res 20000 (SF20) Zng 2: Shoreland Zoning Addllnfo: N of 4362 Peninsula Players Rd,"• A rare and remarkable opportunity awaits with this approx 200-foot shorefront lot in the Town of Gibraltar—an ideal setting to build your dream home in the heart of Door County.
• Nestled between the charming village of Egg Harbor and Fish Creek, this wooded property offers both privacy and convenience.
• Enjoy westerly exposure for breathtaking sunsets over the water, and an accessible stone shoreline.
• Spend your evenings soaking in the sunset, then take a short stroll to the renowned Peninsula Players Theatre for unforgettable performances.
• A property with this location and character is truly hard to come by.",1.4,101.0,1235000.0,1235000.0,1235000.0,882142.8571428572,1-2 ac,1.0
A144423C,Egg Harbor,"$295,000","$295,000",36.20,106,0160017292741,General Agricultural (GA),• Single party listing.,36.2,106.0,295000.0,295000.0,295000.0,8149.171270718231,20-40 ac,1.0
A143917C,Egg Harbor,"$250,000","$250,000",2,116,0080132292621B2,Residential,,2.0,116.0,250000.0,250000.0,250000.0,125000.0,2-5 ac,1.0
A144853C,Egg Harbor,"$180,000","$180,000",6.46,118,014260001,Heartland 3.5 (HL3.5),"• Unique vacant lot available to build your Door County dream home!
• Beautifully wooded, this lot has room to provide privacy with just under 6.5 acres, but also conveniently located near Egg Harbor, Fish Creek and all Door County has to offer.",6.46,118.0,180000.0,180000.0,180000.0,27863.77708978328,5-10 ac,1.0
A144455C,Egg Harbor,"$49,000","$49,000",1.68,127,008-01-17292611A1,Wetland (W) Zng 2: Shoreland Zoning,"• Beautiful, fully woode…10959 tokens truncated…ving quickly, so don't hesitate on this one!",5.44,55.0,72000.0,72000.0,72000.0,13235.294117647058,5-10 ac,1.0
A144421C,Sister Bay,"$95,000","$95,000",0.81,64,0160035292723A1,Small Estate (SE) Addlinfo: Straight across from 5754,"• Discover the perfect canvas for your Door County dream home on this serene 0.81-acre parcel along sought-after N Cave Point Drive.
• This lot is located just minutes from Cave Point County Park, Whitefish Dunes, and the Lake Michigan shoreline, the property provides easy access to outdoor adventure while maintaining a peaceful, secluded atmosphere.
• Whether you're envisioning a quiet weekend retreat or a year-round residence, this exceptional piece of land offers the space, setting, and location to bring your vision to life.",0.81,64.0,95000.0,95000.0,95000.0,117283.95061728395,<1 ac,1.0
A144778C,Sister Bay,"$195,000","$195,000",1.40,96,0180102312824,Light Industrial (LI),"• Light Industrial (LI) land available in Sister Bay.
• Four roughly 1.4 acre lot (larger if needed) available to build your custom building with or without an accessory residence.
• Limited building size restrictions compared to other zoning districts.
• Just 5 minutes from Sister Bay, on ZZ which can get you anywhere in the county fast.
• Private road easement and electricity to the lot line will be installed.",1.4,96.0,195000.0,195000.0,195000.0,139285.7142857143,1-2 ac,1.0
A144472C,Sister Bay,"$495,000","$495,000",7.34,140,018660506C3,Heartland 3.5 (HL3.5),"• Over 7 acres of mixed old orchard, meadow and hardwood forest, provides a wonderful escape from the hustle and bustle of Sister Bay.
• Situated on Beach Road, enjoy long walks, mowed paths and the Hidden Acres farm stand just down the road.
• This parcel has a small clearing in the woods with a fire pit, ready for your enjoyment.
• Property is zoned Heartland 3.5.",7.34,140.0,495000.0,495000.0,495000.0,67438.69209809265,5-10 ac,1.0
A144525C,Sister Bay,"$159,900","$159,900",3.80,146,0180222322831A2,Heartland 5 (HL5),"• This beautiful, partially wooded, 3.8 acre parcel located on a private drive offers a quiet, peaceful, and secluded area to build your Door County dream home.
• Located just minutes from Rowley's Bay, the Mink River, and Ellison Bluff County Park, the outdoor activities are endless!
• Head into Ellison Bay or Sister Bay to eat at your favorite restaurant, shop your favorite stores, and partake in one of Door County's many festivals.
• With a mixture of hardwoods and meadow, this lot provides many possibilities for a home site to fit your desire all with an abundance of nature and wildlife making this property a perfect place for your new northern Door County residence or vacation getaway!",3.8,146.0,159900.0,159900.0,159900.0,42078.94736842105,2-5 ac,1.0
A144695C,Sister Bay,"$195,000","$195,000",2.05,159,1210219312832A,Rural Residential (RR),"• ""Everett Acres"" NEW Ephraim subdivision.
• 9 wooded, cul du sac, 2 acre lots.
• Short-term rentals are permitted.
• Excellent, convenient & private location north of Ephraim, north of Sister Bay.",2.05,159.0,195000.0,195000.0,195000.0,95121.95121951221,2-5 ac,1.0
A144688C,Sister Bay,"$195,000","$195,000",2.08,165,1210219312832A,Rural Residential (RR),"• ""Everett Acres"" NEW Ephraim subdivision.
• 9 wooded, cul du sac, 2 acre lots.
• Short-term rentals are permitted.
• Excellent, convenient & private location north of Ephraim, north of Sister Bay.",2.08,165.0,195000.0,195000.0,195000.0,93750.0,2-5 ac,1.0
A144638C,Sister Bay,"$159,900","$159,900",5.09,171,0180222322824G,Heartland 5 (HL5),"• Build your new Door County home on this beautiful five acre building site in a country setting between Sister Bay and Ellison Bay.
• No restrictive covenants leave the door open to more design options than other residential neighborhoods in the area.
• A lovely mix of evergreens dot the landscape throughout the property.
• Perk test on file shows soil depth suitable for a three bedroom mound system.
• There's also really great cellular reception.",5.09,171.0,159900.0,159900.0,159900.0,31414.538310412576,5-10 ac,1.0
A144394C,Sister Bay,"$295,000","$295,000",5.37,186,0180104312813C,Heartland 3.5 (HL3.5) Zng 2: Rural Residential (RR),"• Create your perfect Door County retreat on this 5.367-acre wooded lot—an ideal canvas for your dream home or private getaway.
• A gravel drive is already in place, and a full survey has been completed, saving you time and effort.
• Enjoy the tranquility of a secluded setting while being just minutes from all the dining, shopping, and shorefront charm Sister Bay has to offer.
• Also offered are Lots 3 and 4, individually, under MLS #s 144395 and 144396.
• See MLS #144398 for all 3 Lots combined.",5.37,186.0,295000.0,295000.0,295000.0,54934.82309124767,5-10 ac,1.0
A144551C,Sister Bay,"$195,900","$195,900",15.92,196,0180103312843A,Heartland 10 (HL10) Zng 2: Wetland (W) Addilnfo: Next to 1750 County Hy ZZ,"• 15 Acres of Prime Hunting Land with Wetlands.
• Discover acres of natural beauty, perfectly suited for outdoor enthusiasts and hunters alike.
• This property offers a mix of wooded terrain and wetlands, creating a thriving habitat for deer, waterfowl, and other wildlife.
• Whether you're looking for a private hunting retreat, a spot to explore nature, or an investment in recreational land, this acreage provides it all.
• Secluded yet accessible, the land gives you the space and privacy you want, while still being within reach of nearby amenities.",15.92,196.0,195900.0,195900.0,195900.0,12305.276381909547,10-20 ac,1.0
A143331C,Sister Bay,"$187,000","$187,000",5.01,236,018-57-0007,Heartland 5 (HL5),"• Beautiful 5-acre homesite just east of Sister Bay, near Lake Michigan.
• Lot #7 of Lakewoods Land Division.
• This is an exceptional and interesting parcel with a big ridge that runs through it.
• About 1/3 of it is hardwoods and the rest is conifers.
• The soil has already been tested and deep soil conditions will allow for an in-ground septic system!",5.01,236.0,187000.0,187000.0,187000.0,37325.349301397204,5-10 ac,1.0
A144395C,Sister Bay,"$295,000","$295,000",5.37,260,0180104312814D3,Heartland 3.5 (HL3.5) Zng 2: Rural Residential (RR),"• Create your perfect Door County retreat on this 5.367-acre wooded lot—an ideal canvas for your dream home or private getaway.
• A gravel drive is already in place, and a full survey has been completed, saving you time and effort.
• Enjoy the tranquility of a secluded setting while being just minutes from all the dining, shopping, and shorefront charm Sister Bay has to offer.
• Also offered are Lots 2 and 4, individually, under MLS #s 144394 and 144396.
• See MLS #144398 for all 3 lots combined.",5.37,260.0,295000.0,295000.0,295000.0,54934.82309124767,5-10 ac,1.0
A141137C,Sister Bay,"$225,900","$207,500",10,803,0180118312843D,Heartland 10 (HL10),"• Biking or walking distance to Ephraim, this ten acre parcel is an ideal future home site.
• Open, sloping meadow with beautiful countryside views.
• No private deed restrictions.
• Adjacent lot to the north is also available for $225,900.",10.0,803.0,225900.0,207500.0,207500.0,20750.0,10-20 ac,0.918548030101815
A141138C,Sister Bay,"$225,900","$207,500",10,803,0180118312843A1,Heartland 10 (HL10),"• Private setting just moments to Ephraim.
• This open, sloping property offers beautiful countryside views, bordered by hardwoods.
• No private deed restrictions.
• Adjacent lot to the south is also available for $225,900.",10.0,803.0,225900.0,207500.0,207500.0,20750.0,10-20 ac,0.918548030101815
,,,,,,,,,,,,,,,unknown,
A144361C,Sturgeon Bay,"$58,500","$58,500",0.34,36,2817032001001,R-1,"• Rare opportunity to acquire a beautiful building site on the outskirts of Sturgeon Bay.
• All utilities are at the street.
• Natural building site, surrounded by mature trees.
• This is a new split - taxes TBD.
• *Portion of tax parcel number.",0.34,36.0,58500.0,58500.0,58500.0,172058.82352941175,<1 ac,1.0
A144362C,Sturgeon Bay,"$129,900","$129,900",1.75,36,2817032001001,R-1,"• Nicely sized parcel offering 3 outbuildings and access to all city utilities.
• Electricity and gas currently runs to barn.
• Seller will provide easement for electricity.
• Property being offered ""as is"".",1.75,36.0,129900.0,129900.0,129900.0,74228.57142857143,1-2 ac,1.0
A144629C,Sturgeon Bay,"$130,000","$130,000",0.28,40,2814095002000,R-1,"• Cleared building site with high speed internet, sewer, water, electricity, and natural gas in beautiful Purves Lagoon.
• Less than 500' away is the Commons Area and your own permanent 30 foot boat slip.
• Samuelson's Creek (a year round stream) runs along the back property line.
• Lot was recently cleared and is ready for your new home!
• Purves Lagoon does not allow Short Term Rentals.",0.28,40.0,130000.0,130000.0,130000.0,464285.71428571426,<1 ac,1.0
A143945C,Sturgeon Bay,"$79,500","$79,500",0.52,43,016350020,Single Family Res 20000 (SF20),"• Beautiful wooded lot on a quiet cul-de-sac in Sunrise Dunes Estates, just a short walk to the beach, park, market, and dining in Jacksonport.
• Enjoy the peaceful setting and friendly neighborhood with underground power, a shared community water system, and well-managed association.
• Build your dream home or vacation getaway in this scenic location with easy access to Sturgeon Bay and Northern Door County.
• A perfect mix of nature, convenience, and small-town charm!
• Annual $375 fee covers road maintenance and water system.",0.52,43.0,79500.0,79500.0,79500.0,152884.61538461538,<1 ac,1.0
A144403C,Sturgeon Bay,"$145,900","$145,900",0.26,49,2814095005100,Residential,"• Great interior lot in desirable Purves Lagoon Subdivision.
• Flat parcel to build your dream home.
• Comes with one of the best boat slips in the community, Slip #136.
• Low annual HOA fees of $600 that includes electric and water at the dock.
• E Walnut PI is scheduled to be resurfaced next summer.",0.26,49.0,145900.0,145900.0,145900.0,561153.8461538461,<1 ac,1.0
A144561C,Sturgeon Bay,"$130,000","$130,000",0.29,49,2813205030103,Residential,"• Parcel #2813205030103 This lot was sold in conjunction with the neighboring property, 1205 N 3rd Ave.",0.29,49.0,130000.0,130000.0,130000.0,448275.86206896557,<1 ac,1.0
A144719C,Sturgeon Bay,"$115,000","$115,000",0.50,52,2816510120114,Residential,"• Welcome to Strawberry Creek Estates!
• This level lot is located adjacent to the wildlife pond and is only steps from all of the great amenities that Strawberry Creek has to offer, including a first class deep water marina, club house and lounge area, pool, and tennis court.
• Included with this lot is deeded boat slip #35 which includes electricity, water, sewer, natural gas, and cable tv.
• Strawberry Creek is a boater's paradise with easy access to both Green Bay waters as well as Lake Michigan.",0.5,52.0,115000.0,115000.0,115000.0,230000.0,<1 ac,1.0
A144636C,Sturgeon Bay,"$44,900","$44,900",0.27,53,2816229000125,R-2,"• Rare opportunity to purchase a city lot that's steps from school, ball fields and also close to the hospital and all other Sturgeon Bay conveniences.
• Attractive level and open homesite.",0.27,53.0,44900.0,44900.0,44900.0,166296.2962962963,<1 ac,1.0
A145905C,Sturgeon Bay,"$220,000","$220,000",20,59,0160031292734A,A - Agriculture,"• Situated in the Town of Jacksonport, this productive rural property offers a blend of agricultural use and future potential.
• The land includes two insulated glamping-style structures currently powered by portable solar energy, with electric available at the road for hook-up.
• Two horse shelters are included, making this an ideal setup for livestock or hobby farming.
• The property features an established hayfield, with approximately 11 acres in pasture/hay production and an additional 9 acres in annual crop rotation.
• The property may also offer potential building opportunities, subject to local zoning and approvals.",20.0,59.0,220000.0,220000.0,220000.0,11000.0,20-40 ac,1.0
A143955C,Sturgeon Bay,"$650,000","$650,000",57.84,68,,General Agricultural (GA) Zng 2: Wetland (W),"• Turn-key hunting parcel just south of Sturgeon Bay.
• 57.8 acres of woods, established food, native grass plantings.
• Verifiable hunting success over past years with multiple species on trail cams.
• Or use it for recreation, with trails already created.
• Some of the property is in income producing government conservation programs.",57.84,68.0,650000.0,650000.0,650000.0,11237.89764868603,40+ ac,1.0
A143977C,Sturgeon Bay,"$69,900","$69,900",0.38,74,2813621100400A,R-1,"• Discover the perfect opportunity to build your dream home on this spacious .38-acre city lot.
• Nestled in an established neighborhood with access to public utilities, and conveniently located near schools, the YMCA, downtown Sturgeon Bay, and highway access.",0.38,74.0,69900.0,69900.0,69900.0,183947.36842105264,<1 ac,1.0
